UID,WaterYear,precip_mm,ETr_mm,ETo_mm
347541,2017,745.1,2180.65,1533.56
347541,2018,629.89,2151.62,1519.73
347541,2019,802.59,1812.09,1316.98
347541,2020,491.43,2199.19,1540.07
347541,2021,606.44,2170.98,1524.8
347541,2022,22.27,404.02000000000004,256.67
347542,2016,607.1,1786.15,1285.65
347542,2017,641.65,2184,1532.97
347542,2018,575.5,2108.4,1492.5
347542,2019,886.6,1827.5,1323.5
347542,2020,440.4,2185.4,1529.3999999999999
347542,2021,511.1,2159.3,1516.1
347542,2022,21.900000000000002,397.90000000000003,252.60000000000002
347543,2016,585.84,1792.25,1289.07
347543,2017,651.68,2183.5099999999998,1533.58
347543,2018,545.3,2113.3,1495.4
347543,2019,894.3,1829.6,1324.9
347543,2020,434.5,2191.4,1532.2
347543,2021,500.3,2162.1,1516.7
347543,2022,22.1,400.6,254.4
347548,2016,549.24,1749.2,1264.85
347548,2017,668.3,2129.94,1503.35
347548,2018,524.7,2063.4,1466.5
347548,2019,894.4,1767.3,1289
347548,2020,434.4,2152.8,1512
347548,2021,518.9,2130.7,1499.2
347548,2022,22.5,394.1,250.39999999999998
347549,2016,578.95,1794.1,1289.8600000000001
347549,2017,678.79,2178.87,1531.48
347549,2018,543.15,2118.58,1498.6200000000001
347549,2019,895.85,1824.28,1320.44
347549,2020,426.02,2191.85,1531.82
347549,2021,492.33,2164.73,1519.66
347549,2022,20.05,400.64,254.01
347550,2016,552.11,1726.53,1251.5
347550,2017,668.68,2109.93,1489.86
347550,2018,513.5,2035.1,1450.3
347550,2019,907.9,1750.8999999999999,1279.6000000000001
347550,2020,460.4,2141.1,1504
347550,2021,517.3,2117.9,1492.6
347550,2022,26.2,391.4,248.4
347551,2016,450.99,1780.88,1283.6299999999999
347551,2017,723.4200000000001,2163.64,1523.1
347551,2018,674.2,2161.9,1525.8
347551,2019,789.1,1808.8,1313.5
347551,2020,487.4,2211.9,1547
347551,2021,495.3,2179.1,1529.6
347551,2022,22.1,409.8,259.79999999999995
347552,2016,632.43,1720.71,1248.72
347552,2017,601.81,2131.9,1504.5
347552,2018,585.8,2010.3,1433.9
347552,2019,897.3,1730.6,1268.7
347552,2020,426.8,2112.6,1488.4
347552,2021,483.5,2125.6,1497.4
347552,2022,23.8,384.20000000000005,244.6
347553,2016,534.59,1811.92,1300.13
347553,2017,666.66,2216.05,1550.7
347553,2018,655.9,2144,1512.1
347553,2019,840.1999999999999,1859.8,1343.1
347553,2020,469.59999999999997,2223.4,1550.6000000000001
347553,2021,529.7,2188.8,1533.6
347553,2022,27.099999999999998,408.8,258.6
347557,2016,516.74,1835.1,1312.28
347557,2017,687.33,2225.35,1555.31
347557,2018,645,2171.9,1526.8
347557,2019,856.3,1864.8,1343.5
347557,2020,426,2234.3,1556.4
347557,2021,521.6,2201.9,1539.2
347557,2022,19.6,411.9,260.5
347558,2016,621.92,1742.97,1261.87
347558,2017,590.6700000000001,2158.5699999999997,1519.29
347558,2018,582.2,2043.8,1454.7
347558,2019,885.5,1761.3,1286
347558,2020,461.8,2131.3,1499.2
347558,2021,474.90000000000003,2135.5,1503.8
347558,2022,27.599999999999998,386.5,246.3
347562,2016,453.86,1755.5800000000002,1266.48
347562,2017,660.82,2143.31,1508.62
347562,2018,484.8,2111.5,1491.6
347562,2019,849.6,1784,1296.3
347562,2020,379,2179.8,1524.9
347562,2021,470.9,2145,1506.9
347562,2022,22.6,403.7,256.4
347563,2016,625.05,1781.49,1283.26
347563,2017,633.78,2179.71,1532.3
347563,2018,604.3,2101.9,1487.6
347563,2019,873.3,1820.9,1321.1
347563,2020,443.1,2183,1528.1
347563,2021,507.9,2159.5,1516.3
347563,2022,24.7,398.7,252.9
347564,2016,506.28999999999996,1801.18,1295
347564,2017,653.05,2197.81,1541.88
347564,2018,619.4,2145.2,1514.8
347564,2019,873.6,1823.3,1321.4
347564,2020,472.3,2197.2000000000003,1536.8
347564,2021,581.3,2174.9,1525.1
347564,2022,26.2,400.5,254.5
347565,2016,535.28,1731.31,1254.06
347565,2017,693.4300000000001,2113.86,1492.83
347565,2018,512.39,2046.4,1456.61
347565,2019,905.62,1753.28,1280.08
347565,2020,446.99,2143.48,1505.54
347565,2021,509.4,2116.18,1491.89
347565,2022,25.900000000000002,391.17,248.42
347566,2016,641.21,1763.19,1273.79
347566,2017,645.25,2179.83,1531.6200000000001
347566,2018,662.2,2070.9,1471.7
347566,2019,870.4,1789.3,1304
347566,2020,485.6,2158.5,1515.4
347566,2021,521.7,2152.8,1513.1000000000001
347566,2022,25.7,392.7,249.9
347568,2016,563.8,1715.47,1245.65
347568,2017,670.4200000000001,2097.28,1483.97
347568,2018,548.15,2012.69,1438.07
347568,2019,885.6,1731.22,1268.94
347568,2020,452.13,2125.94,1496.44
347568,2021,508.38,2107.59,1486.94
347568,2022,26.36,384.82,245.19
347569,2016,512.2900000000001,1780.77,1281.51
347569,2017,677.09,2164.55,1521.65
347569,2018,562.6,2119.1,1497.2
347569,2019,926.5,1806.2,1309.5
347569,2020,402.9,2183.8,1527.8
347569,2021,538.5,2156,1513.2
347569,2022,20,403.5,256.1
347571,2016,471.42,1803.9099999999999,1295.3600000000001
347571,2017,728.9,2195.5,1539.61
347571,2018,678.59,2166.56,1526.6200000000001
347571,2019,820.31,1830.05,1323.4
347571,2020,471.82,2220.95,1550.84
347571,2021,562.0500000000001,2190.37,1533.55
347571,2022,19.14,412.14,261.18
347574,2016,651.82,1755.93,1269.66
347574,2017,623.25,2179.5,1531.4099999999999
347574,2018,660.4,2062.3,1466.5
347574,2019,879.5,1777,1296.6
347574,2020,479.5,2146.4,1508.7
347574,2021,521.4,2148.8,1511.5
347574,2022,25,392,248.8
347576,2016,629.58,1746.44,1263.79
347576,2017,590.57,2155.16,1518.05
347576,2018,543.2,2050.9,1459.2
347576,2019,887.9,1765.9,1289.5
347576,2020,459.3,2139.3,1503.3
347576,2021,459.8,2139.9,1505.8
347576,2022,25.7,390.7,248.10000000000002
347577,2016,452.89,1814.92,1300.38
347577,2017,679.38,2214.25,1549.54
347577,2018,609.3,2187.8,1536.5
347577,2019,866.5,1846.9,1331.6
347577,2020,405.5,2243.4,1561
347577,2021,528,2210.6,1543.6
347577,2022,19.2,419.8,265.4
347579,2016,501.84,1803.94,1296.04
347579,2017,740.13,2195.94,1541.78
347579,2018,647,2161.4,1523.4
347579,2019,825.9,1829.8,1326.1
347579,2020,475.1,2212.9,1545.6
347579,2021,588.4,2184.2,1531.5
347579,2022,20.6,408.4,259.2
347580,2016,592.47,1719.77,1248.5
347580,2017,633.68,2113.39,1494.32
347580,2018,578.9,2006.2,1432.8
347580,2019,834.4,1728.2,1266.2
347580,2020,446.6,2119.5,1493
347580,2021,491.2,2114.6,1490.9
347580,2022,26.9,383.40000000000003,244.6
347581,2016,626.97,1731.65,1254.94
347581,2017,649.0699999999999,2135.16,1505.48
347581,2018,590.6999999999999,2025.8,1444.6
347581,2019,860,1743.3,1275.4
347581,2020,438.8,2134.3,1500
347581,2021,462,2127.1,1498.8
347581,2022,26.3,387.5,246.39999999999998
347583,2016,595.96,1782.7,1284.1299999999999
347583,2017,642.54,2187.5,1535.6399999999999
347583,2018,662,2101.8,1488.5
347583,2019,857.4,1824.3,1322.9
347583,2020,474.7,2188,1531.3
347583,2021,516.4,2165.8,1519.3
347583,2022,29.5,399.2,253.2
347585,2016,533.24,1782.27,1285.13
347585,2017,723.1700000000001,2169.41,1526.95
347585,2018,639,2151.4,1520.1
347585,2019,763.6,1802.5,1310.7
347585,2020,537.2,2200.4,1542
347585,2021,586.3,2170.8,1525.9
347585,2022,22.8,405.5,257.4
347587,2016,469.88,1820.91,1303.67
347587,2017,699.64,2214.35,1548.5
347587,2018,628.45,2181.34,1532.2
347587,2019,860.3100000000001,1848.99,1333.08
347587,2020,422.83,2235.24,1555.8
347587,2021,566.24,2205.15,1540.68
347587,2022,18.88,417.88,264.32
347588,2016,542.68,1785.42,1284.32
347588,2017,687.27,2166.75,1522.62
347588,2018,550.4,2116,1495.7
347588,2019,909.1999999999999,1809.9,1313
347588,2020,397.59999999999997,2180.5,1525.1
347588,2021,524.2,2154.6,1512.2
347588,2022,19.4,402.5,255.3
347589,2016,495.75,1803.77,1294.18
347589,2017,684.53,2188.36,1535.37
347589,2018,598.9,2144,1512.4
347589,2019,888.6999999999999,1827.8999999999999,1322.2
347589,2020,403.6,2204,1538.4
347589,2021,550.1,2176.9,1524.2
347589,2022,19,409.4,259.4
347591,2016,546.98,1808.5700000000002,1297.39
347591,2017,694.25,2193.55,1537.31
347591,2018,574.76,2140.48,1509.28
347591,2019,845.29,1827.87,1321.89
347591,2020,391.38,2195.77,1533.75
347591,2021,495.07,2170.58,1521.16
347591,2022,18.84,405.8,257.40999999999997
