UID,Year,precip_mm
347566,2019,820.748498904705
347566,2020,509.3367283791303
347568,2017,750.6895824499428
347568,2018,679.6630910992623
347568,2019,854.7968846857548
347568,2020,429.11185550745574
347569,2017,782.6148833413422
347569,2018,776.6748307061196
347569,2019,901.0175195527075
347569,2020,398.14436911715194
347571,2017,829.4090317383408
347571,2018,848.5320289254188
347571,2019,785.941387784481
347571,2020,498.1177864883095
347574,2017,727.0865522563457
347574,2018,836.0102126955985
347574,2019,834.6447997331619
347574,2020,503.6315040625632
347576,2017,699.6774092823267
347576,2018,733.8985244214534
347576,2019,860.3300627231597
347576,2020,448.16277585197236
347577,2017,744.9022066101431
347577,2018,803.1601360082626
347577,2019,798.5846083045005
347577,2020,412.6078781529329
347579,2017,872.1080876737833
347579,2018,792.3258742332458
347579,2019,789.0396861314773
347579,2020,494.9661039131693
347580,2017,733.2924178741872
347580,2018,749.074087190628
347580,2019,809.7026342511176
347580,2020,420.07187273874877
347581,2017,739.8274845704436
347581,2018,738.0246041774749
347581,2019,812.9574031829834
347581,2020,412.3037601410411
347583,2017,751.9991323500872
347583,2018,829.0828146440642
347583,2019,811.2009515285491
347583,2020,504.851389233768
347585,2017,870.3531791210174
347585,2018,806.3792027831078
347585,2019,745.0563031196593
347585,2020,522.4885838512331
347587,2017,786.0837401434778
347587,2018,841.1368362426757
347587,2019,810.3638387441634
347587,2020,461.98320079687977
347588,2017,773.6004568882286
347588,2018,718.5248905301094
347588,2019,920.2116827189922
347588,2020,404.71746535673736
347589,2017,783.1222226008772
347589,2018,779.7927744746208
347589,2019,876.6749453186989
347589,2020,450.54589069336646
347591,2017,764.956797683984
347591,2018,744.7909153699875
347591,2019,889.0559271216392
347591,2020,417.7603851653635
347592,2017,781.5074713572859
347592,2018,725.9955343365668
347592,2019,836.77206133008
347592,2020,380.39915095567704
347593,2017,811.4497599244118
347593,2018,808.1550754904747
347593,2019,821.6879537343979
347593,2020,475.4697295011952
347594,2017,765.169777791202
347594,2018,698.8496758460998
347594,2019,887.2061452567577
347594,2020,401.562354459241
347595,2017,744.1346092879772
347595,2018,769.779536652565
347595,2019,842.1531804561614
347595,2020,407.42127124778926
347597,2017,720.1553091570735
347597,2018,731.3476619243621
347597,2019,803.1258834660052
347597,2020,426.2180702447891
347598,2017,719.6119095822175
347598,2018,734.4876521507898
347598,2019,842.1582774480183
347598,2020,434.71977131838594
347601,2017,771.8706839174032
347601,2018,691.686242878437
347601,2019,828.2410928308964
347601,2020,402.63923684908076
347602,2017,767.1612384930253
347602,2018,673.7077990198135
347602,2019,842.578875311613
347602,2020,416.25800142282617
347604,2017,846.7233307704329
347604,2018,842.953779385771
347604,2019,785.6686770200729
347604,2020,494.29410772658883
347605,2017,716.8264399304985
347605,2018,736.5618709683419
347605,2019,834.3467877030372
347605,2020,434.98182553760705
347606,2017,883.5802620768546
347606,2018,826.1138584852218
347606,2019,733.0990615010261
347606,2020,523.8565856108441
