UID,Year,precip_mm,ETo_mm,ETr_mm
347552,2020,377.2,1532.9,2188.8
347552,2021,493.5,1501.7,2128.1
347553,2016,551.25,1551.13,2206.27
347553,2017,760.4,1527.4,2177.1
347553,2018,728.9,1452.2,2043.6000000000001
347553,2019,722.1,1387.1,1938.3
347553,2020,419,1588,2285.6
347553,2021,542.1,1543,2201.9
347557,2016,531.37,1567.39,2236.75
347557,2017,767.4,1530,2183.2
347557,2018,716.7,1470.7,2078.8
347557,2019,747.9,1381,1929.1000000000001
347557,2020,380.8,1597.4,2304.3
347557,2021,528.4,1547.5,2213.1
347558,2016,641.49,1496.86,2109.84
347558,2017,661.6,1502.4,2131
347558,2018,656.4,1395.7,1946.5
347558,2019,782.1,1324.5,1827.7
347558,2020,413.40000000000003,1542,2204
347558,2021,489.6,1509.7,2140.9
347562,2016,469.28,1508.3,2134.9900000000002
347562,2017,709.4,1489.2,2111.3
347562,2018,547.3000000000001,1435.5,2018
347562,2019,769.9,1332.7,1848.7
347562,2020,347.5,1568,2251.2
347562,2021,478.2,1517.5,2158.7
347563,2016,642.13,1527.86,2164.8
347563,2017,712.5,1511.9,2146.7
347563,2018,687.9,1428.7,2003.3
347563,2019,759.6,1361.7,1892.1
347563,2020,394,1566.9,2248.6
347563,2021,516,1524.5,2169.7
347564,2016,521.64,1542.98,2190.09
347564,2017,720.6999999999999,1518.3,2157.7
347564,2018,723.3,1455.4,2048.5
347564,2019,747.3,1363.5,1896.1
347564,2020,424.9,1574,2260.7
347564,2021,594.3,1535.3,2187
347565,2016,551.86,1488.97,2098.84
347565,2017,748.89,1475.71,2085.01
347565,2018,591.04,1399.88,1953.3
347565,2019,807.15,1316.43,1816.17
347565,2020,410.78,1549.5800000000002,2217.55
347565,2021,519.29,1498.86,2124.81
347566,2016,660.96,1514.21,2139.02
347566,2017,723,1512,2148
347566,2018,747.4,1411,1970
347566,2019,744.8,1345.8999999999999,1861.1
347566,2020,441.8,1555.1,2227.4
347566,2021,534.1,1521.3,2161.7
347568,2016,579.88,1476.3,2075.69
347568,2017,725.9200000000001,1468.84,2072.15
347568,2018,639.66,1381.33,1918.6599999999999
347568,2019,779.94,1305.33,1794.3400000000001
347568,2020,410.68,1540.31,2201.5299999999997
347568,2021,518.76,1493.09,2112.64
347569,2016,527.98,1526.76,2165.7200000000003
347569,2017,735.3,1500.9,2130.9
347569,2018,638.1999999999999,1441.6000000000001,2026.4
347569,2019,827.7,1344.7,1867.4
347569,2020,365.7,1571,2256.9
347569,2021,545,1522,2166.6
347571,2016,486.89,1545.85,2197.5299999999997
347571,2017,796.73,1517.52,2158.31
347571,2018,758.5,1469.04,2071.22
347571,2019,708.61,1363.12,1899.04
347571,2020,433.76,1590.85,2289.15
347571,2021,567.74,1544.18,2204.23
347574,2016,672.1700000000001,1508.47,2129.13
347574,2017,695.8,1513.5,2150.7
347574,2018,752.9,1404.8,1959.2
347574,2019,752.7,1337.8,1848
347574,2020,433.1,1550.1,2217.5
347574,2021,534.2,1518.5,2157.4
347576,2016,647.95,1499.74,2115.1
347576,2017,656,1502.4,2129.7
347576,2018,627.9,1400.1,1952.1
347576,2019,781.6,1327,1832.4
347576,2020,411.5,1546.7,2212.5
347576,2021,471.1,1511.8,2146.5
347577,2016,468.97,1553.52,2213.37
347577,2017,733.7,1528,2178.3
347577,2018,689.1,1478.3,2091.7
347577,2019,765,1370.4,1914.3
347577,2020,372.3,1603.3,2314.9
347577,2021,531.7,1554.5,2225.1
347579,2016,516.87,1545.82,2196.18
347579,2017,822.9,1520,2160.3
347579,2018,728.6,1466.3,2064.8
347579,2019,701.5,1365,1898.8
347579,2020,432.40000000000003,1584.1,2278.6
347579,2021,596.6999999999999,1542.4,2197.9
347580,2016,607.85,1478.92,2079.36
347580,2017,709.8,1478.2,2087.9
347580,2018,660.7,1377.4,1912.9
347580,2019,720.3000000000001,1302.3,1791.6
347580,2020,403.2,1537,2194.6
347580,2021,502.3,1496.5,2118.7
347581,2016,642.4399999999999,1488.22,2096.01
347581,2017,726.8,1488.9,2107.3
347581,2018,669.8,1386.6,1930
347581,2019,748.2,1314,1810.9
347581,2020,392.7,1542.5,2206.5
347581,2021,473.9,1505.4,2134.1
347583,2016,615.2,1528.67,2165.9
347583,2017,733.1,1515,2152.7
347583,2018,737.8,1427.9,2002
347583,2019,735,1366.9,1900.7
