UID,Year,precip_mm,ETr_mm,ETo_mm
347552,2020,294.5,1687.9,1208.8
347552,2021,357.4,1628.9,1180.8
347553,2016,492.96,1657.4,1198.01
347553,2017,636.4,1599.9,1158.5
347553,2018,618.9,1575.9,1149.6
347553,2019,601.6,1579.7,1150.6
347553,2020,327.8,1754.7,1246.3
347553,2021,403,1668.6,1202.2
347557,2016,475.67,1678.29,1208.93
347557,2017,664.5,1601,1157.8999999999999
347557,2018,607.8,1600.2,1161.7
347557,2019,627.9,1564.9,1139.7
347557,2020,288.8,1768.7,1252.9
347557,2021,411.79999999999995,1672.8,1203.5
347558,2016,584.96,1592.41,1161.99
347558,2017,576.6,1590.5,1154.9
347558,2018,547,1512.3,1113
347558,2019,665.8000000000001,1487.9,1098.1000000000001
347558,2020,334.1,1703.1,1217.5
347558,2021,360.8,1636.8,1185.6
347562,2016,415.45,1605.06,1166.78
347562,2017,612.8,1553.1,1131.4
347562,2018,458.1,1565,1141.8
347562,2019,634.8000000000001,1495.4,1098.5
347562,2020,259.3,1731.7,1233.2
347562,2021,357.2,1641.4,1185.6
347563,2016,584.03,1628.53,1182
347563,2017,611.6999999999999,1584.3,1151.7
347563,2018,573.1,1549,1133.7
347563,2019,633.8,1542.5,1129.5
347563,2020,294.5,1732.2,1233.6
347563,2021,373.59999999999997,1648.7,1191.1
347564,2016,461.59999999999997,1648.84,1194.07
347564,2017,596.4,1589.1,1153.5
347564,2018,605.9,1579.4,1151.9
347564,2019,623.4,1541.5,1128.3
347564,2020,334.7,1738.3,1237.2
347564,2021,457.7,1660.5,1198.1
347565,2016,495.90000000000003,1581.65,1154.73
347565,2017,647.75,1542.6399999999999,1126.92
347565,2018,475.22,1523.26,1119.53
347565,2019,673.6,1472.41,1088.03
347565,2020,310.5,1706.23,1218.94
347565,2021,394.61,1619.81,1174.47
347566,2016,598.5600000000001,1613.54,1174.5
347566,2017,606.7,1597.1,1158.7
347566,2018,642.5,1525.8,1121.9
347566,2019,630.3,1518.1,1117.3
347566,2020,359.2,1719.3,1226.6
347566,2021,382.5,1647.4,1191.6
347568,2016,525.12,1566.09,1146.38
347568,2017,627.5,1539.82,1126.21
347568,2018,507.65999999999997,1501.78,1107.84
347568,2019,645.46,1456.22,1080.24
347568,2020,308.7,1695.28,1213.6
347568,2021,388.26,1615.8799999999999,1173.32
347569,2016,471.62,1626.6200000000001,1179.6100000000001
347569,2017,639.3,1569.2,1141.2
347569,2018,528.9,1567.7,1144.3
347569,2019,700.4,1512.2,1109.5
347569,2020,275.7,1735.5,1234.7
347569,2021,426.3,1642,1186
