WR_GROUP,Year,Algorithm,ET_m3,ETo_m3,ETr_m3,precip_m3,ET_m3_nonirr,Irrigation_m3,IrrArea_m2,WaterUse_m3,area_m2_wrg,n_irrfields,n_within_lema,n_within_buffer,CropCode_maincrop,area_m2_maincrop,n_croptypes
8,2017,ptjpl,203041.61,443402.66,629053.77,242876.44,190313.41,186255.76,849839.84,186255.76,295082.43,2,0,0,1,295082.426675912,1
8,2017,sims,207612.41,443402.66,629053.77,242876.44,182762.25,186255.76,849839.84,186255.76,295082.43,2,0,0,1,295082.426675912,1
8,2017,ssebop,275043.77,443402.66,629053.77,242876.44,247757.11,186255.76,849839.84,186255.76,295082.43,2,0,0,1,295082.426675912,1
8,2018,disalexi,599209.34,1446803.46,2036478.29,725103.62,517009.51,98678.55,809371.28,98678.55,989470.29,4,0,0,1,694387.8677412285,2
8,2018,eemetric,819678.81,1446803.46,2036478.29,725103.62,731558.73,98678.55,809371.28,98678.55,989470.29,4,0,0,1,694387.8677412285,2
8,2018,ensemble,743172.44,1446803.46,2036478.29,725103.62,705772.01,98678.55,809371.28,98678.55,989470.29,4,0,0,1,694387.8677412285,2
8,2018,ptjpl,658819.94,1446803.46,2036478.29,725103.62,634602.94,98678.55,809371.28,98678.55,989470.29,4,0,0,1,694387.8677412285,2
8,2018,sims,629473.99,1446803.46,2036478.29,725103.62,601199.71,98678.55,809371.28,98678.55,989470.29,4,0,0,1,694387.8677412285,2
8,2018,ssebop,900579.39,1446803.46,2036478.29,725103.62,869625.46,98678.55,809371.28,98678.55,989470.29,4,0,0,1,694387.8677412285,2
9,2016,disalexi,85618.05,286654.43,403108.64,111969.23,96869.29,0,0,0,193986.89,1,0,0,510,193986.89121113915,1
9,2016,eemetric,198629,286654.43,403108.64,111969.23,201880.22,0,0,0,193986.89,1,0,0,510,193986.89121113915,1
9,2016,ensemble,186124.6,286654.43,403108.64,111969.23,187321.5,0,0,0,193986.89,1,0,0,510,193986.89121113915,1
9,2016,ptjpl,163073.14,286654.43,403108.64,111969.23,158469.83,0,0,0,193986.89,1,0,0,510,193986.89121113915,1
9,2016,sims,194636.75,286654.43,403108.64,111969.23,192427.24,0,0,0,193986.89,1,0,0,510,193986.89121113915,1
9,2016,ssebop,218580.55,286654.43,403108.64,111969.23,217564.06,0,0,0,193986.89,1,0,0,510,193986.89121113915,1
9,2017,disalexi,99928.47,285348.9,402868.1,137808.29,78107.85,0,0,0,193986.89,1,0,0,510,193986.89121113915,1
9,2017,eemetric,195257.51,285348.9,402868.1,137808.29,171586.25,0,0,0,193986.89,1,0,0,510,193986.89121113915,1
9,2017,ensemble,184473.77,285348.9,402868.1,137808.29,165885.95,0,0,0,193986.89,1,0,0,510,193986.89121113915,1
9,2017,ptjpl,166603.7,285348.9,402868.1,137808.29,154743.34,0,0,0,193986.89,1,0,0,510,193986.89121113915,1
9,2017,sims,195527.15,285348.9,402868.1,137808.29,175007.21,0,0,0,193986.89,1,0,0,510,193986.89121113915,1
9,2017,ssebop,202134.34,285348.9,402868.1,137808.29,174971.33,0,0,0,193986.89,1,0,0,510,193986.89121113915,1
9,2018,disalexi,103270.86,266778.53,370930.09,127505.64,104361.07,0,0,0,193986.89,1,0,0,510,193986.89121113915,1
9,2018,eemetric,174516.43,266778.53,370930.09,127505.64,164304.96,0,0,0,193986.89,1,0,0,510,193986.89121113915,1
9,2018,ensemble,172968.41,266778.53,370930.09,127505.64,169763.75,0,0,0,193986.89,1,0,0,510,193986.89121113915,1
9,2018,ptjpl,157125.5,266778.53,370930.09,127505.64,158169.15,0,0,0,193986.89,1,0,0,510,193986.89121113915,1
9,2018,sims,165185.66,266778.53,370930.09,127505.64,173082.86,0,0,0,193986.89,1,0,0,510,193986.89121113915,1
9,2018,ssebop,182089.68,266778.53,370930.09,127505.64,178601.79,0,0,0,193986.89,1,0,0,510,193986.89121113915,1
10,2016,disalexi,414552.79,1513649.31,2149896.5,578392.42,424469.03,209691.92,971245.54,209691.92,982249.56,4,3,1,1,934731.2575274212,2
10,2016,eemetric,790330.83,1513649.31,2149896.5,578392.42,778296.82,209691.92,971245.54,209691.92,982249.56,4,3,1,1,934731.2575274212,2
10,2016,ensemble,730817.03,1513649.31,2149896.5,578392.42,714057.37,209691.92,971245.54,209691.92,982249.56,4,3,1,1,934731.2575274212,2
10,2016,ptjpl,633107.96,1513649.31,2149896.5,578392.42,629297.75,209691.92,971245.54,209691.92,982249.56,4,3,1,1,934731.2575274212,2
10,2016,sims,681181.91,1513649.31,2149896.5,578392.42,630655.21,209691.92,971245.54,209691.92,982249.56,4,3,1,1,934731.2575274212,2
10,2016,ssebop,930118.47,1513649.31,2149896.5,578392.42,913338.52,209691.92,971245.54,209691.92,982249.56,4,3,1,1,934731.2575274212,2
10,2017,disalexi,532204.16,1612554.74,2296568.86,768766.57,492496.8,165286.57,971245.54,165286.57,1056444.09,6,3,3,1,982249.5635569256,2
10,2017,eemetric,872970.62,1612554.74,2296568.86,768766.57,852992.15,165286.57,971245.54,165286.57,1056444.09,6,3,3,1,982249.5635569256,2
10,2017,ensemble,769850.34,1612554.74,2296568.86,768766.57,745789.17,165286.57,971245.54,165286.57,1056444.09,6,3,3,1,982249.5635569256,2
