gridmet_id,Year,ETo_mm,ETr_mm,precip_mm
564181,2008,1395.98,1962.88,592.93
564181,2009,1292.31,1783.23,674.05
564181,2010,1468.71,2071.84,552.43
564181,2011,1620.66,2336.65,605.65
564181,2012,1800.21,2637.23,325.38
564181,2013,1492.41,2127.71,418.78
564181,2014,1446.02,2053.8,490.46
564181,2015,1454.65,2042.74,527.5
564181,2016,1481.33,2086.18,522.63
564181,2017,1462.82,2064.77,707.45
564181,2018,1393.97,1943.97,643.71
564181,2019,1313.56,1811.83,793.19
564181,2020,1555.02,2227.61,374.95
564182,2006,1498.56,2122.28,531.14
564182,2007,1388.15,1922.88,480.12
564182,2008,1392.67,1956.81,601.32
564182,2009,1290.04,1779.25,670.16
564182,2010,1466.15,2067.09,571.56
564182,2011,1621.04,2336.99,611.05
564182,2012,1798.28,2633.5,327.38
564182,2013,1493.46,2129.44,412.91
564182,2014,1445.68,2053.12,487.81
564182,2015,1456.14,2045.3,534.44
564182,2016,1479.05,2081.73,532.76
564182,2017,1463.45,2066.04,716.54
564182,2018,1387.84,1933.25,639.94
564182,2019,1309.77,1803.99,806.48
564182,2020,1549.88,2218.28,386.58
564183,2006,1498.02,2121.41,543.47
564183,2007,1386.36,1919.35,478.55
564183,2008,1389.78,1951.36,605.77
564183,2009,1289.5,1778.24,666.46
564183,2010,1463.89,2062.95,580.18
564183,2011,1623.49,2340.7,615.7
564183,2012,1798.55,2633.38,331.53
564183,2013,1496.36,2134.18,411.26
564183,2014,1446.43,2054.21,492.02
564183,2015,1459.08,2050.26,563.31
564183,2016,1477.99,2079.28,557
564183,2017,1466.35,2069.54,713.32
564183,2018,1384.43,1925.66,622.54
564183,2019,1308.33,1801.22,810.7
564183,2020,1548.51,2215.13,401.23
564184,2006,1498.78,2123.04,553.59
564184,2007,1385.99,1918.49,480.39
564184,2008,1388.39,1948.64,607.55
564184,2009,1289.87,1778.94,665.29
564184,2010,1464.92,2064.64,568.86
564184,2011,1627.32,2346.99,620.32
564184,2012,1800.47,2636.36,333.83
564184,2013,1500.62,2141.54,411.57
564184,2014,1450.15,2060.55,494.87
564184,2015,1464.71,2060.03,583.92
564184,2016,1479.87,2082.1,574.99
564184,2017,1470.24,2076.36,721.08
564184,2018,1382.59,1923.67,622.66
564184,2019,1309.44,1802.36,789.84
564184,2020,1548.59,2215.45,410.69
564185,2006,1499.86,2125.05,562.73
564185,2007,1386.32,1918.76,481.16
564185,2008,1387.4,1946.58,609.14
564185,2009,1290.13,1779.33,665.74
564185,2010,1466.09,2066.46,547.88
564185,2011,1630.78,2352.61,621.01
564185,2012,1802.05,2638.71,333.47
564185,2013,1504.53,2148.24,411.54
564185,2014,1454.17,2067.29,495.1
564185,2015,1469.58,2068.43,587.52
564185,2016,1481.53,2084.49,574.57
564185,2017,1473.73,2081.51,720.24
564185,2018,1380.67,1920.53,638.6
564185,2019,1309.43,1802.72,755.2
564185,2020,1548.24,2215.63,414.4
564186,2006,1500.74,2126.74,570.57
564186,2007,1386.05,1918.11,481.79
564186,2008,1385.82,1943.61,616.47
564186,2009,1288.47,1776.53,664.46
564186,2010,1466.72,2067.32,527.68
564186,2011,1633.43,2356.86,620.34
564186,2012,1803.3,2640.45,331.73
564186,2013,1507.98,2154.19,409.64
564186,2014,1457.68,2073.22,494.46
564186,2015,1473.32,2074.93,569.36
564186,2016,1481.84,2084.57,588.72
564186,2017,1477.2,2088.33,710.94
564186,2018,1377.83,1915,656.87
564186,2019,1308.43,1799.95,731.92
564186,2020,1546.86,2212.72,411.95
564187,2006,1503.62,2132.06,581.72
564187,2007,1387.17,1920.12,483.27
564187,2008,1385.45,1942.86,633.21
564187,2009,1288.44,1776.67,666.04
564187,2010,1467.38,2068.65,533.54
564187,2011,1636.82,2362.73,625.62
564187,2012,1805.47,2644.09,332.54
564187,2013,1512.57,2162.43,408.52
564187,2014,1462.21,2081.22,499.58
564187,2015,1477.96,2083.29,531.92
564187,2016,1482.65,2085.93,611.76
564187,2017,1482.25,2096.11,718
564187,2018,1376.38,1912.73,665.77
564187,2019,1308.81,1800.45,731.15
564187,2020,1546.46,2212.72,402.63
564188,2006,1507.84,2140.06,583.13
564188,2007,1389.59,1924.76,481.56
564188,2008,1386.21,1944.51,643.11
564188,2009,1290.27,1780.37,663.08
564188,2010,1469.54,2072.85,567.34
564188,2011,1640.61,2369.63,630.65
564188,2012,1808.46,2649.46,332.79
564188,2013,1518.02,2172.47,406.21
564188,2014,1467.87,2091.49,502.66
564188,2015,1484.89,2095.86,520.57
564188,2016,1483.21,2087.35,636.43
564188,2017,1486.69,2105.2,722.44
564188,2018,1376.68,1913.71,668.99
564188,2019,1310.49,1804.47,743.84
564188,2020,1546.64,2214.13,394.71
564189,2006,1510.53,2144.85,583.17
564189,2007,1390.55,1926.5,480.84
564189,2008,1385.38,1942.98,649.11
564189,2009,1292.98,1784.97,655.85
564189,2010,1471.34,2075.89,587.25
564189,2011,1640.49,2369.5,633.84
564189,2012,1809.44,2651.07,333.48
564189,2013,1521.02,2177.98,405.47
564189,2014,1471.71,2098.35,502.05
564189,2015,1490.21,2105.27,547.68
564189,2016,1483.3,2087.5,648.76
564189,2017,1491.03,2112.36,692.11
564189,2018,1374.97,1910.83,662.76
564189,2019,1309.74,1803.94,769.92
564189,2020,1544.12,2209.31,386.58
564190,2006,1513.34,2149.62,577.16
564190,2007,1391.52,1928.1,481.65
564190,2008,1383.79,1940.01,649.2
564190,2009,1295.88,1789.74,644.64
564190,2010,1472.43,2077.58,579.66
564190,2011,1639.51,2367.81,630.32
564190,2012,1809.62,2651.2,331.12
564190,2013,1523.21,2182,401.73
564190,2014,1475.57,2105.12,495.37
564190,2015,1494.34,2112.54,560.65
564190,2016,1483.21,2087.17,642.6
564190,2017,1495.17,2119.46,658.75
564190,2018,1372.6,1907.68,650.81
564190,2019,1308.02,1801.44,776.41
564190,2020,1540.56,2203.35,381.86
564191,2006,1516.55,2155.39,569.93
564191,2007,1393,1930.83,480.03
564191,2008,1382.49,1937.85,651
564191,2009,1298.27,1794.01,635.82
564191,2010,1473.96,2080.36,565.75
564191,2011,1639.44,2367.91,624.1
564191,2012,1810.75,2653.17,328.68
564191,2013,1525.92,2187.13,396.07
564191,2014,1480.71,2114.25,485.53
564191,2015,1498.89,2120.69,553.54
564191,2016,1483.65,2088.02,638.41
564191,2017,1499.32,2127.84,664.4
564191,2018,1372.64,1906.95,667.16
564191,2019,1307.6,1800.79,767.81
564191,2020,1539.97,2200.68,389.13
565589,2006,1515.25,2151.95,527.92
565589,2007,1405.67,1955.39,477.59
565589,2008,1414.03,1995.43,584.67
565589,2009,1304.33,1805.49,678.43
565589,2010,1484.58,2101.09,502.28
565589,2011,1633.98,2361.07,599.02
565589,2012,1818.85,2670.91,322.17
565589,2013,1504.31,2149.74,426.55
565589,2014,1458.4,2076.53,502.95
565589,2015,1463.18,2058.59,551
565589,2016,1495.21,2112.19,488.3
565589,2017,1471.63,2082.34,697.3
565589,2018,1414.3,1981.59,601.76
565589,2019,1325.31,1832.68,746.8
565589,2020,1566.16,2249.1,376.46
565590,2006,1508.53,2139.81,518.34
565590,2007,1398.84,1942.81,474.25
565590,2008,1406.06,1981.03,586.11
565590,2009,1299.94,1797.09,672.84
565590,2010,1477.17,2087.44,507.29
565590,2011,1630.96,2355.02,602.73
565590,2012,1811.83,2657.92,326.45
565590,2013,1500,2141.5,422.7
565590,2014,1453.8,2067.89,500.5
565590,2015,1459.38,2051.35,544.52
565590,2016,1489.26,2100.88,495.36
565590,2017,1466.49,2073.41,694.91
565590,2018,1407.62,1968.83,604.6
565590,2019,1319.6,1822.7,757.36
565590,2020,1559.12,2236.58,368.15
565591,2006,1509.41,2141.32,512.09
565591,2007,1398,1941.04,475.1
565591,2008,1403.67,1976.61,589.59
565591,2009,1300.09,1797.17,668.09
565591,2010,1477.4,2087.5,528.34
565591,2011,1633.71,2359.43,604.84
565591,2012,1812.11,2658.02,327.23
565591,2013,1502.91,2146.31,416.46
565591,2014,1455.03,2069.89,493.74
565591,2015,1462.83,2057.23,538.8
565591,2016,1489.65,2101.09,505.22
565591,2017,1469.49,2077.87,702.24
565591,2018,1404.54,1962.03,601.53
565591,2019,1319.61,1822.92,778.55
565591,2020,1559.27,2236.01,379.83
565592,2006,1510.47,2143.03,520.42
565592,2007,1398,1940.54,471.89
565592,2008,1402.68,1974.36,596.95
565592,2009,1300.45,1797.45,665.93
565592,2010,1477.8,2087.65,559.96
565592,2011,1636.52,2363.79,607.71
565592,2012,1812.98,2659,328.49
565592,2013,1506.46,2152.15,412.42
565592,2014,1457.1,2073.17,491.55
565592,2015,1467.16,2064.49,543.31
565592,2016,1490.81,2102.39,526.45
565592,2017,1473.23,2083.38,711.41
565592,2018,1401.7,1958.4,596.11
565592,2019,1320.16,1821.81,798.19
565592,2020,1557.49,2232.01,397.25
565593,2006,1509.08,2140.74,535.1
565593,2007,1396.18,1936.99,471.92
565593,2008,1399.6,1968.67,602.54
565593,2009,1299.34,1795.55,665.59
565593,2010,1476.28,2084.73,572.43
565593,2011,1638.4,2366.61,612.28
565593,2012,1812.87,2658.31,332.43
565593,2013,1508.93,2156.23,412.43
565593,2014,1457.72,2074.07,496.07
565593,2015,1469.44,2068.42,567.35
565593,2016,1489.86,2100.2,556.34
565593,2017,1476.37,2086.73,709.48
565593,2018,1397.12,1949.04,589.84
565593,2019,1318.25,1818.67,807.33
565593,2020,1555.35,2227.72,409.03
565594,2006,1507.92,2138.85,547.9
565594,2007,1394.39,1933.56,475.32
565594,2008,1396.39,1962.75,605.38
565594,2009,1297.56,1792.55,665.02
565594,2010,1476.11,2084.11,555.91
565594,2011,1640.53,2369.84,619.8
565594,2012,1813.25,2658.5,335.61
565594,2013,1511.52,2160.55,412.46
565594,2014,1460.26,2078.2,497.52
565594,2015,1473.03,2074.53,584.62
565594,2016,1489.87,2099.71,569.74
565594,2017,1478.4,2090.28,712.69
